,Phenotype,o_1,o_2,o_3,o_4
87,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
88,x[6] += 1,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
89,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
90,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
91,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
92,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
93,x[7] -= 9 ; x[7] -= 4,0.5427288711071014,0.040123458951711655,0.1111111111111111,0.1530829221010208
94,x[7] += 5,0.6704951226711273,0.015432098880410194,0.1111111111111111,0.18616867065429688
95,x[7] -= 9 ; x[7] -= 9,0.5138314962387085,0.0555555559694767,0.1111111111111111,0.1641058623790741
96,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
97,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
98,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
99,x[6] += 1.0,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
100,x[7] -= 8 ; x[7] -= 6,0.5362942814826965,0.043209876865148544,0.1111111111111111,0.1552874892950058
101,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
102,x[6] += 1,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
103,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
104,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
105,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
106,x[7] -= 6,0.5877792537212372,0.018518518656492233,0.1111111111111111,0.15881483256816864
107,x[7] -= 4 ; x[7] -= 2 ; x[5] += 3 ; x[7] -= 9 ; x[7] -= 1 ; x[7] -= 5 ; x[3] += 7,10000.0,10000.0,10000.0,10000.0
108,x[6] += 0.9,0.6321898996829987,0.0,0.0,0.1720423549413681
109,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
110,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
111,x[6] += 0.5,0.6321898996829987,0.0,0.0,0.1720423549413681
112,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
113,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
114,x[6] += 0.9,0.6321898996829987,0.0,0.0,0.1720423549413681
